Date,Affected Accounts,Description,Debit,Credit,Debit,Credit,Debit,Credit
2024-09-19,Total,Total,"15,000","15,000",0.00,0.00,0.00,0.00
2024-09-19,KR10105-Kakao Checking Account,문서진 (입금 부탁),"15,000",,,,,
2024-09-19,KR10403-Friends Receivable,문서진 (입금 부탁),,"15,000",,,,
2024-09-19,Total,Total,"15,000","15,000",0.00,0.00,0.00,0.00
2024-09-19,KR10105-Kakao Checking Account,술 w 문서진,,"7,100",,,,
2024-09-19,KR30201-Friends Debt,술 w 문서진,"7,100",,,,,
2024-09-19,Total,Total,"7,100","7,100",0.00,0.00,0.00,0.00
2024-09-19,KR10101-Toss Checking Account,Transfer to Toss,"7,900",,,,,
2024-09-19,KR10105-Kakao Checking Account,Transfer to Toss,,"7,900",,,,
2024-09-19,Total,Total,"7,900","7,900",0.00,0.00,0.00,0.00
2024-09-19,KR30201-Friends Debt,교통 (Myothurin) ,,"2,900",,,,
2024-09-19,KR60004-Transportation Expenses,교통 (Myothurin) ,"2,900",,,,,
2024-09-19,Total,Total,"2,900","2,900",0.00,0.00,0.00,0.00
2024-09-19,KR30201-Friends Debt,교통 (学勤) ,,"1,400",,,,
2024-09-19,KR60004-Transportation Expenses,교통 (学勤) ,"1,400",,,,,
2024-09-19,Total,Total,"1,400","1,400",0.00,0.00,0.00,0.00
2024-09-19,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-19,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-19,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-19,KR10102-Hana Checking Account,Davy,"50,000",,,,,
2024-09-19,KR30201-Friends Debt,Davy,,"50,000",,,,
2024-09-19,Total,Total,"50,000","50,000",0.00,0.00,0.00,0.00
2024-09-19,KR10101-Toss Checking Account,Transfer to Toss,"50,000",,,,,
2024-09-19,KR10102-Hana Checking Account,Transfer to Toss,,"50,000",,,,
2024-09-19,Total,Total,"50,000","50,000",0.00,0.00,0.00,0.00
2024-09-19,KR10101-Toss Checking Account,Bakso RIndu Kampung 跟学勤,,"41,000",,,,
2024-09-19,KR60005-Personal Expenses,Bakso RIndu Kampung 跟学勤,"24,000",,,,,
2024-09-19,KR60002-Food Expenses,Bakso RIndu Kampung 跟学勤,"17,000",,,,,
2024-09-19,Total,Total,"41,000","41,000",0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,Transfer to KakaoPay,,"10,000",,,,
2024-09-20,KR10105-Kakao Checking Account,Transfer to KakaoPay,"10,000",,,,,
2024-09-20,Total,Total,"10,000","10,000",0.00,0.00,0.00,0.00
2024-09-20,KR10105-Kakao Checking Account,Apple Music,,"3,300",,,,
2024-09-20,KR60005-Personal Expenses,Apple Music,"3,300",,,,,
2024-09-20,Total,Total,"3,300","3,300",0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,Transfer to Toss,"6,700",,,,,
2024-09-20,KR10105-Kakao Checking Account,Transfer to Toss,,"6,700",,,,
2024-09-20,Total,Total,"6,700","6,700",0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,GS25,,"5,500",,,,
2024-09-20,KR60002-Food Expenses,GS25,"5,500",,,,,
2024-09-20,Total,Total,"5,500","5,500",0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-20,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-20,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-20,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-20,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,쿠팡,,"15,360",,,,
2024-09-20,KR60002-Food Expenses,쿠팡,"15,360",,,,,
2024-09-20,Total,Total,"15,360","15,360",0.00,0.00,0.00,0.00
2024-09-20,KR10101-Toss Checking Account,GS25,,"7,800",,,,
2024-09-20,KR60002-Food Expenses,GS25,"7,800",,,,,
2024-09-20,Total,Total,"7,800","7,800",0.00,0.00,0.00,0.00
2024-09-20,KR30201-Friends Debt,교통 (Leadership Academy) ,,"2,800",,,,
2024-09-20,KR60004-Transportation Expenses,교통 (Leadership Academy) ,"2,800",,,,,
2024-09-20,Total,Total,"2,800","2,800",0.00,0.00,0.00,0.00
2024-09-21,KR10102-Hana Checking Account,8월 Interest,2,,,,,
2024-09-21,KR70002-Interest Income,8월 Interest,,2,,,,
2024-09-21,Total,Total,2,2,0.00,0.00,0.00,0.00
2024-09-21,KR10101-Toss Checking Account,Coffee Bean,,"2,950",,,,
2024-09-21,KR60002-Food Expenses,Coffee Bean,"2,950",,,,,
2024-09-21,Total,Total,"2,950","2,950",0.00,0.00,0.00,0.00
2024-09-21,KR30201-Friends Debt,Hani,,"2,950",,,,
2024-09-21,KR60002-Food Expenses,Hani,"2,950",,,,,
2024-09-21,Total,Total,"2,950","2,950",0.00,0.00,0.00,0.00
2024-09-21,KR10101-Toss Checking Account,Hani,,"2,950",,,,
2024-09-21,KR30201-Friends Debt,Hani,"2,950",,,,,
2024-09-21,Total,Total,"2,950","2,950",0.00,0.00,0.00,0.00
2024-09-21,KR10104-Shinhan Investment Account,Transfer to Toss,,"1,237",,,,
2024-09-21,KR10101-Toss Checking Account,Transfer to Toss,"1,237",,,,,
2024-09-21,Total,Total,"1,237","1,237",0.00,0.00,0.00,0.00
2024-09-21,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-21,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-21,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-21,KR10101-Toss Checking Account,"Boxquare w Hani, Jing",,"5,000",,,,
2024-09-21,KR60002-Food Expenses,"Boxquare w Hani, Jing","5,000",,,,,
2024-09-21,Total,Total,"5,000","5,000",0.00,0.00,0.00,0.00
2024-09-22,KR10105-Kakao Checking Account,Annie,"25,000",,,,,
2024-09-22,KR30201-Friends Debt,Annie,,"25,000",,,,
2024-09-22,Total,Total,"25,000","25,000",0.00,0.00,0.00,0.00
2024-09-22,KR10105-Kakao Checking Account,Transfer to Toss,,"25,000",,,,
2024-09-22,KR10101-Toss Checking Account,Transfer to Toss,"25,000",,,,,
2024-09-22,Total,Total,"25,000","25,000",0.00,0.00,0.00,0.00
2024-09-22,KR10101-Toss Checking Account,쿠팡이츠 for 君熙,,"24,500",,,,
2024-09-22,KR10403-Friends Receivable,쿠팡이츠 for 君熙,"24,500",,,,,
2024-09-22,Total,Total,"24,500","24,500",0.00,0.00,0.00,0.00
2024-09-22,KR30201-Friends Debt,교통 (去明洞看见振华) ,,"2,900",,,,
2024-09-22,KR60004-Transportation Expenses,교통 (去明洞看见振华) ,"2,900",,,,,
2024-09-22,Total,Total,"2,900","2,900",0.00,0.00,0.00,0.00
2024-09-23,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-23,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-23,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-23,KR10000-Cash,재모식당,,"5,000",,,,
2024-09-23,KR60002-Food Expenses,재모식당,"5,000",,,,,
2024-09-23,Total,Total,"5,000","5,000",0.00,0.00,0.00,0.00
2024-09-23,KR10000-Cash,Coins gone missing,,"1,000",,,,
2024-09-23,KR60005-Personal Expenses,Coins gone missing,"1,000",,,,,
2024-09-23,Total,Total,"1,000","1,000",0.00,0.00,0.00,0.00
2024-09-23,KR10403-Friends Receivable,Forgiving 김어진’s Debt,,"2,284",,,,
2024-09-23,KR60007-Other Expenses,Forgiving 김어진’s Debt,"2,284",,,,,
2024-09-23,Total,Total,"2,284","2,284",0.00,0.00,0.00,0.00
2024-09-23,MY11101-Maybank Checking Account,Babah,,,50.00,,,
2024-09-23,MY71003-Allowance Income,Babah,,,,50.00,,
2024-09-23,Total,Total,0,0,50.00,50.00,0.00,0.00
2024-09-23,MY11101-Maybank Checking Account,Google Drive,,,,8.49,,
2024-09-23,MY61005-Personal Expenses,Google Drive,,,8.49,,,
2024-09-23,Total,Total,0,0,8.49,8.49,0.00,0.00
2024-09-24,KR10401-Samsung Receivable,2024_2 Samsung Scholarship,,"3,900,000",,,,
2024-09-24,KR10101-Toss Checking Account,2024_2 Samsung Scholarship,"3,900,000",,,,,
2024-09-24,Total,Total,"3,900,000","3,900,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,문서진 ,,"8,600",,,,
2024-09-24,KR10403-Friends Receivable,문서진 ,"8,600",,,,,
2024-09-24,Total,Total,"8,600","8,600",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-24,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-24,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Annie,,"25,000",,,,
2024-09-24,KR30201-Friends Debt,Annie,"25,000",,,,,
2024-09-24,Total,Total,"25,000","25,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,PPMK,,"400,000",,,,
2024-09-24,KR30201-Friends Debt,PPMK,"400,000",,,,,
2024-09-24,Total,Total,"400,000","400,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Tisya,,"50,000",,,,
2024-09-24,KR30201-Friends Debt,Tisya,"50,000",,,,,
2024-09-24,Total,Total,"50,000","50,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Wei Tian ,,"100,000",,,,
2024-09-24,KR30201-Friends Debt,Wei Tian ,"100,000",,,,,
2024-09-24,Total,Total,"100,000","100,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Davy,,"150,000",,,,
2024-09-24,KR30201-Friends Debt,Davy,"150,000",,,,,
2024-09-24,Total,Total,"150,000","150,000",0.00,0.00,0.00,0.00
2024-09-24,KR10000-Cash,문서진 ,"10,000",,,,,
2024-09-24,KR30201-Friends Debt,문서진 ,,"1,400",,,,
2024-09-24,KR10403-Friends Receivable,문서진 ,,"8,600",,,,
2024-09-24,Total,Total,"10,000","10,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Transfer to KakaoPay,,"10,000",,,,
2024-09-24,KR10105-Kakao Checking Account,Transfer to KakaoPay,"10,000",,,,,
2024-09-24,Total,Total,"10,000","10,000",0.00,0.00,0.00,0.00
2024-09-24,KR10105-Kakao Checking Account,문서진 ,,"1,400",,,,
2024-09-24,KR30201-Friends Debt,문서진 ,"1,400",,,,,
2024-09-24,Total,Total,"1,400","1,400",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,Transfer to KakaoPay,,"66,890",,,,
2024-09-24,KR10105-Kakao Checking Account,Transfer to KakaoPay,"66,890",,,,,
2024-09-24,Total,Total,"66,890","66,890",0.00,0.00,0.00,0.00
2024-09-24,KR60003-Healthcare Expenses,10월 건강보혐료,"75,490",,,,,
2024-09-24,KR10105-Kakao Checking Account,10월 건강보혐료,,"75,490",,,,
2024-09-24,Total,Total,"75,490","75,490",0.00,0.00,0.00,0.00
2024-09-24,KR60001-Home Expenses,Rent,"410,000",,,,,
2024-09-24,KR10101-Toss Checking Account,Rent,,"410,000",,,,
2024-09-24,Total,Total,"410,000","410,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,동교해물跟振华和君熙,,"159,000",,,,
2024-09-24,KR60005-Personal Expenses,동교해물跟振华和君熙,"106,000",,,,,
2024-09-24,KR60002-Food Expenses,동교해물跟振华和君熙,"53,000",,,,,
2024-09-24,Total,Total,"159,000","159,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,"NIKE shoes, socks",,"267,000",,,,
2024-09-24,KR60005-Personal Expenses,"NIKE shoes, socks","267,000",,,,,
2024-09-24,Total,Total,"267,000","267,000",0.00,0.00,0.00,0.00
2024-09-24,KR10101-Toss Checking Account,CU跟君熙和振华,,"10,500",,,,
2024-09-24,KR60005-Personal Expenses,CU跟君熙和振华,"7,000",,,,,
2024-09-24,KR60002-Food Expenses,CU跟君熙和振华,"3,500",,,,,
2024-09-24,Total,Total,"10,500","10,500",0.00,0.00,0.00,0.00
2024-09-24,KR30201-Friends Debt,교통 (去弘大跟君熙和振华) ,,"2,800",,,,
2024-09-24,KR60004-Transportation Expenses,교통 (去弘大跟君熙和振华) ,"2,800",,,,,
2024-09-24,Total,Total,"2,800","2,800",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,Davy,,"500,000",,,,
2024-09-25,KR10403-Friends Receivable,Davy,"500,000",,,,,
2024-09-25,Total,Total,"500,000","500,000",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,西装,,"500,000",,,,
2024-09-25,KR60005-Personal Expenses,西装,"500,000",,,,,
2024-09-25,Total,Total,"500,000","500,000",0.00,0.00,0.00,0.00
2024-09-25,MY11101-Maybank Checking Account,Babah,,,"2,000.00",,,
2024-09-25,MY71003-Allowance Income,Babah,,,,"2,000.00",,
2024-09-25,Total,Total,0,0,"2,000.00","2,000.00",0.00,0.00
2024-09-25,KR10101-Toss Checking Account,쿠팡이츠 for 君熙,,"35,900",,,,
2024-09-25,KR10403-Friends Receivable,쿠팡이츠 for 君熙,"35,900",,,,,
2024-09-25,Total,Total,"35,900","35,900",0.00,0.00,0.00,0.00
2024-09-25,MY11101-Maybank Checking Account,Wise 2 1MYR@322.272KRW,,,,"2,041.51",,
2024-09-25,MY61005-Personal Expenses,Wise 2 1MYR@322.272KRW,,,"2,017.49",,,
2024-09-25,MY61007-Exchange Expenses,Wise 2 1MYR@322.272KRW,,,24.02,,,
2024-09-25,KR10101-Toss Checking Account,Wise 2 1MYR@322.272KRW,"650,181",,,,,
2024-09-25,KR70005-Allowance Income,Wise 2 1MYR@322.272KRW,,"650,181",,,,
2024-09-25,Total,Total,"650,181","650,181","2,041.51","2,041.51",0.00,0.00
2024-09-25,KR10101-Toss Checking Account,8월 Savings,,"100,000",,,,
2024-09-25,KR10201-Home Savings,8월 Savings,"41,000",,,,,
2024-09-25,KR10202-Food Savings,8월 Savings,"18,000",,,,,
2024-09-25,KR10203-Healthcare Savings,8월 Savings,"7,549",,,,,
2024-09-25,KR10204-Emergency Savings,8월 Savings,"6,842",,,,,
2024-09-25,KR10205-Transportation Savings,8월 Savings,"5,600",,,,,
2024-09-25,KR10206-Personal Savings,8월 Savings,"21,009",,,,,
2024-09-25,Total,Total,"100,000","100,000",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,9월 Savings,,"100,000",,,,
2024-09-25,KR10201-Home Savings,9월 Savings,"41,000",,,,,
2024-09-25,KR10202-Food Savings,9월 Savings,"18,000",,,,,
2024-09-25,KR10203-Healthcare Savings,9월 Savings,"7,549",,,,,
2024-09-25,KR10204-Emergency Savings,9월 Savings,"6,842",,,,,
2024-09-25,KR10205-Transportation Savings,9월 Savings,"5,600",,,,,
2024-09-25,KR10206-Personal Savings,9월 Savings,"21,009",,,,,
2024-09-25,Total,Total,"100,000","100,000",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,Transfer to Shinhan Invest,,"50,000",,,,
2024-09-25,KR10104-Shinhan Investment Account,Transfer to Shinhan Invest,"50,000",,,,,
2024-09-25,Total,Total,"50,000","50,000",0.00,0.00,0.00,0.00
2024-09-25,KR10104-Shinhan Investment Account,"Buy 삼성바이오로직스 0.046523@₩	1,073,000",,"49,989",,,,
2024-09-25,KR60005-Personal Expenses,Fees,70,,,,,
2024-09-25,KR10404-Pending Investments,Fees,"49,919",,,,,
2024-09-25,Total,Total,"49,989","49,989",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,Transfer to Shinhan Invest,,"5,000",,,,
2024-09-25,KR10104-Shinhan Investment Account,Transfer to Shinhan Invest,"5,000",,,,,
2024-09-25,Total,Total,"5,000","5,000",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,무신사,,"143,892",,,,
2024-09-25,KR60005-Personal Expenses,무신사,"143,892",,,,,
2024-09-25,Total,Total,"143,892","143,892",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-25,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-25,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,쿠팡,,"104,600",,,,
2024-09-25,KR60005-Personal Expenses,쿠팡,"104,600",,,,,
2024-09-25,Total,Total,"104,600","104,600",0.00,0.00,0.00,0.00
2024-09-25,KR10404-Pending Investments,"Buy 삼성바이오로직스 0.046523@₩	1,073,000",,"49,919",,,,
2024-09-25,KR20002-Stocks,"Buy 삼성바이오로직스 0.046523@₩	1,073,000","49,919",,,,,
2024-09-25,Total,Total,"49,919","49,919",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,Transfer to Shinhan Invest,,"50,000",,,,
2024-09-25,KR10104-Shinhan Investment Account,Transfer to Shinhan Invest,"50,000",,,,,
2024-09-25,Total,Total,"50,000","50,000",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,"소고기초밥 for 문서진, 振华和君熙",,"30,000",,,,
2024-09-25,KR60005-Personal Expenses,"소고기초밥 for 문서진, 振华和君熙","20,000",,,,,
2024-09-25,KR60002-Food Expenses,"소고기초밥 for 문서진, 振华和君熙","10,000",,,,,
2024-09-25,Total,Total,"30,000","30,000",0.00,0.00,0.00,0.00
2024-09-25,KR10101-Toss Checking Account,Dinner w Davy,,"412,000",,,,
2024-09-25,KR60005-Personal Expenses,Dinner w Davy,"206,000",,,,,
2024-09-25,KR60002-Food Expenses,Dinner w Davy,"206,000",,,,,
2024-09-25,Total,Total,"412,000","412,000",0.00,0.00,0.00,0.00
2024-09-25,KR10000-Cash,쿠팡이츠 for 君熙,"41,000",,,,,
2024-09-25,KR70006-Other Income,쿠팡이츠 for 君熙,,500,,,,
2024-09-25,KR10403-Friends Receivable,쿠팡이츠 for 君熙,,"40,500",,,,
2024-09-25,Total,Total,"41,000","41,000",0.00,0.00,0.00,0.00
2024-09-25,KR30201-Friends Debt,교통 (Steak w Davy) ,,"2,800",,,,
2024-09-25,KR60004-Transportation Expenses,교통 (Steak w Davy) ,"2,800",,,,,
2024-09-25,Total,Total,"2,800","2,800",0.00,0.00,0.00,0.00
2024-09-26,KR10104-Shinhan Investment Account,"Buy 삼성전자 0.775155@₩	64,400",,"49,989",,,,
2024-09-26,KR60005-Personal Expenses,Fees,70,,,,,
2024-09-26,KR10404-Pending Investments,Fees,"49,919",,,,,
2024-09-26,Total,Total,"49,989","49,989",0.00,0.00,0.00,0.00
2024-09-26,KR10404-Pending Investments,"Buy 삼성전자 0.775155@₩	64,400",,"49,919",,,,
2024-09-26,KR20002-Stocks,"Buy 삼성전자 0.775155@₩	64,400","49,919",,,,,
2024-09-26,Total,Total,"49,919","49,919",0.00,0.00,0.00,0.00
2024-09-26,KR10101-Toss Checking Account,Concert Tattoos,,"1,600",,,,
2024-09-26,KR60005-Personal Expenses,Concert Tattoos,"1,600",,,,,
2024-09-26,Total,Total,"1,600","1,600",0.00,0.00,0.00,0.00
2024-09-26,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-26,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-26,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-26,KR10101-Toss Checking Account,三味摊摊面,,"58,900",,,,
2024-09-26,KR10403-Friends Receivable,三味摊摊面,"29,450",,,,,
2024-09-26,KR60002-Food Expenses,三味摊摊面,"29,450",,,,,
2024-09-26,Total,Total,"58,900","58,900",0.00,0.00,0.00,0.00
2024-09-26,KR10000-Cash,Total,"30,000",,,,,
2024-09-26,KR70006-Other Income,Total,,550,,,,
2024-09-26,KR10403-Friends Receivable,Total,,"29,450",,,,
2024-09-26,Total,Total,"30,000","30,000",0.00,0.00,0.00,0.00
2024-09-27,KR10101-Toss Checking Account,振华 ear piercing,,"33,000",,,,
2024-09-27,KR10403-Friends Receivable,振华 ear piercing,"33,000",,,,,
2024-09-27,Total,Total,"33,000","33,000",0.00,0.00,0.00,0.00
2024-09-27,KR10101-Toss Checking Account,海底捞跟振华,,"108,800",,,,
2024-09-27,KR60005-Personal Expenses,海底捞跟振华,"54,400",,,,,
2024-09-27,KR60002-Food Expenses,海底捞跟振华,"54,400",,,,,
2024-09-27,Total,Total,"108,800","108,800",0.00,0.00,0.00,0.00
2024-09-27,KR10101-Toss Checking Account,7Eleven,,"1,900",,,,
2024-09-27,KR60002-Food Expenses,7Eleven,"1,900",,,,,
2024-09-27,Total,Total,"1,900","1,900",0.00,0.00,0.00,0.00
2024-09-27,MY11104-Maybank Investment Account,Maybank Dividend,,,3.78,,,
2024-09-27,MY71004-Other Income,Maybank Dividend,,,,3.78,,
2024-09-27,Total,Total,0,0,3.78,3.78,0.00,0.00
2024-09-27,KR10101-Toss Checking Account,춘리마라탕,,"10,830",,,,
2024-09-27,KR60002-Food Expenses,춘리마라탕,"10,830",,,,,
2024-09-27,Total,Total,"10,830","10,830",0.00,0.00,0.00,0.00
2024-09-27,KR30201-Friends Debt,교통 (海底捞跟振华) ,,"4,500",,,,
2024-09-27,KR60004-Transportation Expenses,교통 (海底捞跟振华) ,"4,500",,,,,
2024-09-27,Total,Total,"4,500","4,500",0.00,0.00,0.00,0.00
2024-09-28,KR10101-Toss Checking Account,미용실 예약금 (君熙),,"19,970",,,,
2024-09-28,KR10403-Friends Receivable,미용실 예약금 (君熙),"19,970",,,,,
2024-09-28,Total,Total,"19,970","19,970",0.00,0.00,0.00,0.00
2024-09-28,KR10101-Toss Checking Account,"쿠팡이츠 for 君熙, 振华",,"39,000",,,,
2024-09-28,KR10403-Friends Receivable,"쿠팡이츠 for 君熙, 振华","39,000",,,,,
2024-09-28,Total,Total,"39,000","39,000",0.00,0.00,0.00,0.00
2024-09-28,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-28,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-28,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-28,KR10101-Toss Checking Account,미용실 예약금 (振华),,"20,000",,,,
2024-09-28,KR10403-Friends Receivable,미용실 예약금 (振华),"20,000",,,,,
2024-09-28,Total,Total,"20,000","20,000",0.00,0.00,0.00,0.00
2024-09-28,KR10000-Cash,君熙,"95,000",,,,,
2024-09-28,KR70006-Other Income,君熙,,100,,,,
2024-09-28,KR10403-Friends Receivable,君熙,,"94,900",,,,
2024-09-28,Total,Total,"95,000","95,000",0.00,0.00,0.00,0.00
2024-09-28,KR10000-Cash,십원빵 w 振华,,"4,000",,,,
2024-09-28,KR60005-Personal Expenses,십원빵 w 振华,"2,000",,,,,
2024-09-28,KR60002-Food Expenses,십원빵 w 振华,"2,000",,,,,
2024-09-28,Total,Total,"4,000","4,000",0.00,0.00,0.00,0.00
2024-09-28,KR30201-Friends Debt,교통 (在明洞购物跟振华) ,,"2,800",,,,
2024-09-28,KR60004-Transportation Expenses,교통 (在明洞购物跟振华) ,"2,800",,,,,
2024-09-28,Total,Total,"2,800","2,800",0.00,0.00,0.00,0.00
2024-09-29,KR10101-Toss Checking Account,"쿠팡이츠 for 君熙, 振华",,"25,400",,,,
2024-09-29,KR10403-Friends Receivable,"쿠팡이츠 for 君熙, 振华","25,400",,,,,
2024-09-29,Total,Total,"25,400","25,400",0.00,0.00,0.00,0.00
2024-09-29,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-29,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-29,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-29,KR10101-Toss Checking Account,연남어부跟君熙振华,,"66,000",,,,
2024-09-29,KR60002-Food Expenses,연남어부跟君熙振华,"66,000",,,,,
2024-09-29,Total,Total,"66,000","66,000",0.00,0.00,0.00,0.00
2024-09-29,KR10101-Toss Checking Account,연남어부跟君熙振华,,"33,500",,,,
2024-09-29,KR60002-Food Expenses,연남어부跟君熙振华,"33,500",,,,,
2024-09-29,Total,Total,"33,500","33,500",0.00,0.00,0.00,0.00
2024-09-29,KR30201-Friends Debt,교통 (吃生鱼片跟振华君熙) ,,"1,400",,,,
2024-09-29,KR60004-Transportation Expenses,교통 (吃生鱼片跟振华君熙) ,"1,400",,,,,
2024-09-29,Total,Total,"1,400","1,400",0.00,0.00,0.00,0.00
2024-09-29,KR10101-Toss Checking Account,한술식당 w 勇太,,"9,900",,,,
2024-09-29,KR60002-Food Expenses,한술식당 w 勇太,"9,900",,,,,
2024-09-29,Total,Total,"9,900","9,900",0.00,0.00,0.00,0.00
2024-09-29,KR30201-Friends Debt,교통 (한술식당 w 勇太) ,,"3,000",,,,
2024-09-29,KR60004-Transportation Expenses,교통 (한술식당 w 勇太) ,"3,000",,,,,
2024-09-29,Total,Total,"3,000","3,000",0.00,0.00,0.00,0.00
2024-09-30,KR10105-Kakao Checking Account,Davy,"500,000",,,,,
2024-09-30,KR10403-Friends Receivable,Davy,,"500,000",,,,
2024-09-30,Total,Total,"500,000","500,000",0.00,0.00,0.00,0.00
2024-09-30,KR10101-Toss Checking Account,Transfer to Toss,"500,000",,,,,
2024-09-30,KR10105-Kakao Checking Account,Transfer to Toss,,"500,000",,,,
2024-09-30,Total,Total,"500,000","500,000",0.00,0.00,0.00,0.00
2024-09-30,KR10101-Toss Checking Account,역전우동跟振华,,"13,500",,,,
2024-09-30,KR60005-Personal Expenses,역전우동跟振华,"4,500",,,,,
2024-09-30,KR60002-Food Expenses,역전우동跟振华,"9,000",,,,,
2024-09-30,Total,Total,"13,500","13,500",0.00,0.00,0.00,0.00
2024-09-30,KR10101-Toss Checking Account,Transfer to KakaoPay,,"10,000",,,,
2024-09-30,KR10105-Kakao Checking Account,Transfer to KakaoPay,"10,000",,,,,
2024-09-30,Total,Total,"10,000","10,000",0.00,0.00,0.00,0.00
2024-09-30,KR10105-Kakao Checking Account,메머드커피,,"3,807",,,,
2024-09-30,KR60002-Food Expenses,메머드커피,"3,807",,,,,
2024-09-30,Total,Total,"3,807","3,807",0.00,0.00,0.00,0.00
2024-09-30,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-09-30,KR70001-Cashback Income,Cashback,,100,,,,
2024-09-30,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-09-30,KR10101-Toss Checking Account,세광양대창跟孙雅婷，王其昌，王君熙，李振华，李问涛,,"252,400",,,,
2024-09-30,KR60005-Personal Expenses,세광양대창跟孙雅婷，王其昌，王君熙，李振华，李问涛,"210,333",,,,,
2024-09-30,KR60002-Food Expenses,세광양대창跟孙雅婷，王其昌，王君熙，李振华，李问涛,"42,067",,,,,
2024-09-30,Total,Total,"252,400","252,400",0.00,0.00,0.00,0.00
2024-10-01,KR70004-Didimdol Income,10월 Didimdol,,"150,000",,,,
2024-10-01,KR10402-Didimdol Receivable,10월 Didimdol,"150,000",,,,,
2024-10-01,Total,Total,"150,000","150,000",0.00,0.00,0.00,0.00
2024-10-01,KR70003-Samsung Income,10월 Samsung,,"650,000",,,,
2024-10-01,KR10401-Samsung Receivable,10월 Samsung,"650,000",,,,,
2024-10-01,Total,Total,"650,000","650,000",0.00,0.00,0.00,0.00
2024-10-01,KR10501-Phone Plan,Prepaid Phone Plan,,"20,000",,,,
2024-10-01,KR60005-Personal Expenses,Prepaid Phone Plan,"20,000",,,,,
2024-10-01,Total,Total,"20,000","20,000",0.00,0.00,0.00,0.00
2024-10-01,KR10101-Toss Checking Account,9월 Interest,302,,,,,
2024-10-01,KR70002-Interest Income,9월 Interest,,302,,,,
2024-10-01,Total,Total,302,302,0.00,0.00,0.00,0.00
2024-10-01,KR10101-Toss Checking Account,9월 교통비,,"74,150",,,,
