Transaction_ID,Date,Description,CNY_Sum_Debit,CNY_Sum_Credit,CNY_Ref_Debit,CNY_Ref_Credit,KRW_Sum_Debit,KRW_Sum_Credit,KRW_Ref_Debit,KRW_Ref_Credit,MYR_Sum_Debit,MYR_Sum_Credit,MYR_Ref_Debit,MYR_Ref_Credit
3a1cad73-68d7-5513-bf6b-63fd23f56cfa,2024-06-19,My portion,0.0,0.0,0.0,0.0,69890.0,0.0,69890.0,0.0,0.0,0.0,0.0,0.0
833739dd-5e2a-5e8c-8723-8ce5dcc6eb36,2024-06-19,Malatang birthday Teena,0.0,0.0,0.0,0.0,0.0,29000.0,0.0,29000.0,0.0,0.0,0.0,0.0
4b463e64-6030-5656-9f97-7807be5b9e90,2024-06-19,My portion,0.0,0.0,0.0,0.0,29000.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0
a731bd4a-2da7-5034-babe-4f46a9bbccdc,2024-06-26,"Buy NAVER 0.148306@₩‎168,300",0.0,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0
93cc1939-3658-53df-858d-6f6062d382a5,2024-06-26,Fees,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0,0.0
f1b82457-e798-5665-8ffe-606deb779aaf,2024-06-27,교통카드충전,0.0,0.0,0.0,0.0,0.0,45100.0,0.0,45100.0,0.0,0.0,0.0,0.0
5925b7ad-3437-5f2f-a426-32427c8aca80,2024-06-27,수수료,0.0,0.0,0.0,0.0,45100.0,0.0,45100.0,0.0,0.0,0.0,0.0,0.0
18608249-a634-53e0-b608-5fa61ca9aa7c,2024-07-23,GS25,0.0,0.0,0.0,0.0,0.0,10400.0,0.0,10400.0,0.0,0.0,0.0,0.0
0f41f476-bcaf-510c-85c4-e214e4583688,2024-07-23,For 현재,0.0,0.0,0.0,0.0,10400.0,0.0,10400.0,0.0,0.0,0.0,0.0,0.0
0940d980-ad19-533c-b2b2-27f855b4119c,2024-07-29,"Buy 삼양식품 0.038939@₩‎	641,000",0.0,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0
d747ac75-21c4-5dd6-81d2-da9dbaa2c834,2024-07-29,Fees,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0,0.0
f277ba89-ae4d-5ef8-bd03-9ebc8d580bde,2024-09-25,"Buy 삼성바이오로직스 0.046523@₩‎	1,073,000",0.0,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0
